Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	Torque Est. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	Torque\sEst.\s	I           	I_q         	I_d         	Power   
0.000000	0.000000	1.745224	0.164483	6.494980	100.813316	3.147828	100.730484	0.002963	14.744134	-1.888275	0.000000	0.000000	0.000000	0.000000	0.000000
1.000000	0.000000	1.459122	0.137519	8.671421	100.813316	3.479178	100.813316	0.002138	14.739358	-1.802444	0.000000	0.000000	0.000000	0.000000	0.000000
2.000000	0.000000	1.344681	0.126733	12.100517	100.813316	3.230665	100.813316	0.001564	14.737448	-1.430511	-0.298215	0.000000	-0.298215	-0.082838	0.000062
3.000000	0.000000	1.516342	0.142912	13.968826	100.813316	3.810528	100.730484	0.002212	14.740314	-1.487732	-0.298215	0.000000	-0.298215	-0.082838	0.000055
4.000000	0.000000	1.945495	0.183359	11.175730	100.730484	2.070939	100.730484	0.000848	14.747478	-1.516342	-0.298215	0.000000	-0.298215	-0.082838	0.000022
5.000000	0.000000	1.373291	0.129430	15.834179	100.813316	3.230665	100.730484	0.002576	14.737925	-1.430511	-0.596430	0.000000	-0.596430	-0.165675	0.000122
6.000000	0.000000	1.602173	0.151001	16.764599	100.813316	4.887416	100.730484	0.002805	14.741746	-1.573563	-0.298215	0.000000	-0.298215	-0.082838	0.000000
7.000000	0.000000	1.602173	0.151001	13.039912	100.813316	4.638904	100.730484	0.004018	14.741746	-1.716614	-0.298215	0.000000	-0.298215	-0.082838	0.000040
8.000000	0.000000	1.516342	0.142912	13.037571	100.813316	3.479178	100.730484	0.001296	14.740314	-1.659393	0.000000	0.000000	0.000000	0.000000	0.000000
9.000000	0.000000	1.316070	0.124037	14.279244	100.813316	3.810528	100.730484	0.001596	14.736970	-1.544952	-0.298215	0.000000	-0.298215	-0.082838	0.000074
10.000000	0.000000	1.659393	0.156394	8.690673	100.730484	2.982152	100.730484	0.002517	14.742702	-1.630783	-0.298215	0.000000	-0.298215	-0.082838	0.000050
11.000000	0.000000	1.544952	0.145608	12.730200	100.813316	2.982152	100.813316	0.001560	14.740791	-1.602173	0.000000	0.000000	0.000000	0.000000	0.000000
12.000000	2.122066	1.544952	0.145608	12.729438	100.813316	3.230665	100.813316	0.001721	14.740791	-1.573563	-0.596430	0.000000	-0.596430	-0.165675	0.000109
13.000000	18.037559	3.747940	0.353235	11.486167	100.730484	3.230665	100.730484	0.005787	14.777567	-3.747940	-0.298215	0.000000	-0.298215	-0.082838	0.000101
14.000000	57.295776	19.083021	1.798532	1.241896	100.896156	-1.739589	100.813316	0.032749	15.033568	-19.512175	0.000000	0.000000	-0.298215	-0.082838	0.000530
15.000000	105.042256	57.620998	5.430651	5.277744	100.978996	6.129980	100.730484	0.007969	15.676914	-59.452053	-0.298215	0.000000	-0.298215	-0.082838	0.001900
16.000000	138.995309	106.286995	10.017313	7.140477	100.813316	1.905264	100.730484	0.072467	16.489334	-106.315605	-0.298215	0.000000	-0.298215	-0.082838	0.003340
17.000000	179.314559	141.077026	13.296196	-13.970498	100.978996	1.739589	100.813316	0.395105	17.070113	-138.816818	-0.298215	0.000000	-0.298215	-0.082838	0.004409
18.000000	230.244137	179.357513	16.904047	18.316875	100.978996	4.224716	100.730484	-0.171178	17.709160	-180.273041	-0.298215	0.000000	-0.298215	-0.082838	0.005786
19.000000	275.868552	232.315048	21.895177	3.104555	100.813316	0.828376	100.730484	0.374987	18.593222	-232.486710	-0.298215	0.082838	-0.298215	-0.082838	0.007185
20.000000	291.784045	257.692322	24.286929	-40.359219	101.061829	0.662701	100.730484	-0.626538	19.016866	-269.794434	-0.298215	0.082838	-0.298215	-0.082838	0.007129
21.000000	298.150242	30.641554	2.887898	-33.531204	101.061829	-10.271858	100.730484	-0.008634	15.226524	-41.084286	-0.298215	0.000000	0.000000	0.000000	-0.000181
22.000000	300.272308	0.000000	0.000000	-0.135975	18.638453	-0.082838	-0.082838	-0.000003	0.000000	-0.028610	0.000000	0.000000	0.000000	-0.082838	0.000001
23.000000	305.577473	0.000000	0.000000	-0.025627	0.662701	-0.082838	-0.082838	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
24.000000	308.760571	0.000000	0.000000	-0.004181	0.082838	-0.082838	-0.082838	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
25.000000	326.798131	0.000000	0.000000	-0.000019	0.000000	-0.082838	-0.082838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
26.000000	338.469492	0.000000	0.000000	-0.000019	0.082838	-0.082838	-0.082838	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
27.000000	361.812216	0.000000	0.000000	-0.000019	0.082838	-0.082838	-0.082838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
28.000000	388.338038	0.000000	0.000000	-0.000037	0.000000	-0.082838	0.000000	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
29.000000	414.863860	0.000000	0.000000	-0.000019	0.000000	-0.082838	-0.082838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
30.000000	438.206584	0.000000	0.000000	-0.000019	0.082838	-0.082838	-0.082838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
31.000000	450.938979	0.000000	0.000000	-0.000019	0.000000	-0.082838	-0.082838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
32.000000	459.427242	0.000000	0.000000	-0.000019	0.000000	-0.082838	-0.082838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.000000	465.793439	0.000000	0.000000	-0.000019	0.082838	-0.082838	-0.082838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
34.000000	471.098604	0.000000	0.000000	-0.000019	0.082838	-0.082838	-0.082838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
35.000000	472.159637	0.000000	0.000000	-0.000019	0.000000	-0.082838	-0.082838	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
36.000000	468.976538	0.000000	0.000000	-0.000056	0.082838	-0.082838	0.000000	0.000000	0.000000	0.000000	0.298215	0.000000	0.298215	0.331350	0.000000
37.000000	453.061045	0.000000	0.000000	-0.000019	0.082838	-0.082838	-0.082838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
38.000000	423.352124	0.000000	0.000000	-0.000019	0.000000	-0.082838	-0.082838	0.000000	0.000000	0.000000	-0.298215	0.000000	-0.298215	-0.248513	0.000000
39.000000	392.582170	0.000000	0.000000	-0.000019	0.082838	-0.082838	-0.082838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
40.000000	367.117380	0.000000	0.000000	-0.000019	0.000000	-0.082838	-0.165675	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
41.000000	342.713624	0.000000	0.000000	-0.000019	0.082838	-0.082838	-0.082838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
42.000000	307.699538	0.000000	0.000000	-0.000019	0.082838	-0.082838	-0.082838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
43.000000	266.319256	0.000000	0.000000	-0.000019	0.000000	-0.082838	-0.082838	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
44.000000	235.549302	0.000000	0.000000	-0.000019	0.082838	-0.082838	-0.082838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
45.000000	221.755874	0.000000	0.000000	-0.000019	0.082838	-0.082838	-0.082838	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
46.000000	216.450710	0.000000	0.000000	-0.000019	0.082838	-0.082838	-0.082838	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
47.000000	206.901414	0.000000	0.000000	-0.000019	0.000000	0.000000	-0.082838	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
48.000000	195.230052	0.000000	0.000000	-0.000019	0.000000	-0.082838	-0.082838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
49.000000	188.863855	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
50.000000	188.863855	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
51.000000	184.619723	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
52.000000	166.582164	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
53.000000	138.995309	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
54.000000	128.384980	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
55.000000	127.323947	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
56.000000	127.323947	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
57.000000	127.323947	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
58.000000	130.507046	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
59.000000	133.690144	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
60.000000	155.971835	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
61.000000	162.338032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
62.000000	168.704230	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
63.000000	171.887328	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
64.000000	181.436624	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
65.000000	188.863855	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
66.000000	192.046953	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
67.000000	195.230052	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
68.000000	215.389677	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
69.000000	246.159631	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
