Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	TorqueEst. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	TorqueEst.\s	I           	I_q         	I_d         	Power   	Torque_Ref	Energy_Speed	Energy_Torque
0.000000	0.000000	-0.028610	-0.004206	-0.298215	0.000000	-0.082838	-0.082838	0.000000	-0.235825	-0.000000	-0.930976	100.730484	-0.930976	-0.248513	0.000000	0.000000	0.000000	0.000000
1.000000	0.000000	-0.028610	-0.004206	-0.298215	0.000000	-0.082838	-0.082838	0.000000	0.000000	-0.000000	-0.930976	100.730484	-0.930976	-0.248513	0.000000	0.000000	0.000000	0.000000
2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.082838	-0.082838	0.000001	0.235825	-0.000000	-0.930976	100.730484	-0.930976	-0.248513	0.000000	0.000000	0.000001	0.000000
3.000000	0.000000	0.000000	0.000000	-0.298215	0.000000	-0.082838	-0.082838	0.000001	0.000000	-0.000000	-0.930976	100.730484	-0.930976	-0.248513	0.000000	0.000000	0.000002	0.000000
4.000000	0.000000	-0.028610	-0.004206	-0.298215	0.000000	-0.082838	-0.082838	0.000001	-0.235825	-0.000000	-0.930976	100.730484	-0.930976	-0.248513	0.000000	0.000000	0.000003	0.000000
5.000000	0.000000	-0.028610	-0.004206	-0.298215	0.000000	-0.082838	-0.082838	0.000000	0.000000	-0.000000	-0.931032	100.730484	-0.931032	-0.248513	0.000000	0.000000	0.000003	0.000000
6.000000	0.000000	-0.028610	-0.004206	-0.298215	0.000000	-0.082838	-0.082838	0.000001	0.000000	-0.000000	-0.930976	100.730484	-0.930976	-0.248513	0.000000	0.000000	0.000004	0.000000
7.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.082838	0.000000	0.235825	-0.000000	-0.930976	100.730484	-0.930976	-0.248513	0.000000	0.000000	0.000004	0.000000
8.000000	0.000000	-0.028610	-0.004206	-0.298215	0.000000	-0.082838	-0.082838	0.000000	-0.235825	-0.000000	-0.930976	100.730484	-0.930976	-0.248513	0.000000	0.000000	0.000004	0.000000
9.000000	0.000000	0.000000	0.000000	-0.298215	0.000000	-0.082838	-0.082838	0.000000	0.235825	-0.000000	-0.930976	100.730484	-0.930976	-0.248513	0.000000	0.000000	0.000004	0.000000
10.000000	0.000000	0.000000	0.000000	-0.298215	0.000000	-0.082838	-0.082838	0.000001	0.000000	-0.000000	-0.930976	100.730484	-0.930976	-0.248513	0.000000	0.000000	0.000004	0.000000
11.000000	0.000000	0.000000	0.000000	-0.298215	0.000000	-0.082838	-0.082838	0.000001	0.000000	-0.000000	-0.930976	100.730484	-0.930921	-0.248513	0.000000	0.000000	0.000005	0.000000
