Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	TorqueEst. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	TorqueEst.\s	I           	I_q         	I_d         	Power   	Torque_Ref	Energy_Speed	Energy_Torque
0.000000	93.790150	93.870155	13.801403	5.666090	0.331350	0.497025	-0.248513	0.017605	0.256959	93.841545	-0.000019	0.000000	-0.000019	-0.082838	0.000000	0.000000	3.588086	0.000004
0.000000	93.790150	93.955986	13.814023	3.280368	0.331350	1.905264	-0.248513	0.038318	0.256959	93.641273	-0.000019	0.000000	-0.000019	-0.082838	0.000000	0.000000	3.626404	0.000004
0.000000	93.790150	93.641273	13.767752	6.858951	0.331350	1.159726	-0.248513	0.041241	0.256959	94.070427	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	3.667645	0.000004
0.000000	93.790150	93.812935	13.792990	2.385722	0.248513	0.662701	-0.165675	0.043758	0.256959	93.584053	-0.000019	0.082838	-0.000037	-0.165675	0.000000	0.000000	3.711402	0.000004
0.000000	93.790150	93.641273	13.767752	5.666090	0.248513	1.573914	-0.165675	0.032315	4.496788	93.870155	-0.000019	0.082838	-0.000019	-0.082838	0.000000	4.263147	3.743717	0.000004
0.000000	93.790150	93.898766	13.805610	2.982152	0.248513	0.828376	-0.165675	0.029190	9.678801	93.755714	-0.000019	0.082838	-0.000037	-0.082838	0.000000	9.439825	3.772907	0.000005
0.000000	93.790150	93.755714	13.784577	4.771444	0.248513	1.159726	-0.248513	0.038016	9.678801	93.812935	-0.000019	0.082838	-0.000019	-0.082838	0.000000	9.439825	3.810923	0.000005
0.000000	93.790150	93.841545	13.797197	3.578583	0.165675	1.408239	-0.248513	0.046961	9.678801	93.784325	-0.000019	0.082838	-0.000019	0.000000	0.000000	9.439825	3.857884	0.000005
0.000000	93.790150	93.669884	13.771958	4.473228	0.248513	1.491076	-0.248513	0.032286	9.678801	93.669884	-0.000019	0.082838	-0.000037	-0.165675	0.000000	9.439825	3.890170	0.000005
0.000000	93.790150	93.755714	13.784577	3.876798	0.165675	1.076888	-0.165675	0.038039	42.184154	93.898766	-0.000019	0.082838	-0.000019	-0.082838	0.000000	42.022449	3.928209	0.000005
0.000000	93.790150	93.755714	13.784577	3.876798	0.165675	1.242563	-0.248513	0.043986	38.886510	93.641273	-0.000019	0.082838	-0.000019	-0.082838	0.000000	38.672835	3.972195	0.000005
0.000000	93.790150	93.755714	13.784577	4.473228	0.165675	1.076888	-0.165675	0.038086	38.886510	93.898766	-0.000019	0.082838	0.000000	-0.082838	0.000000	38.672835	4.010281	0.000006
0.000000	93.790150	93.812935	13.792990	3.280368	0.165675	1.159726	-0.248513	0.046889	38.886510	93.641273	-0.000019	0.082838	-0.000019	-0.082838	0.000000	38.672835	4.057170	0.000006
