Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	TorqueEst. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	Torque\sEst.\s	I           	I_q         	I_d         	Power   	Torque_Ref	Energy_Speed	Energy_Torque
0.000000	3.854390	-0.028610	-0.004206	3.876798	0.082838	5.135929	-0.248513	0.007008	-0.214133	0.200272	-1.863402	100.730484	-0.931701	-0.248513	0.000603	0.000000	0.007008	0.000603
0.000000	3.854390	3.433227	0.504775	1.491076	1.822426	3.893366	-0.165675	0.004007	-0.214133	3.175735	-0.931534	100.730484	-0.931478	-0.248513	0.000516	0.000000	0.011016	0.001119
0.000000	3.854390	3.890991	0.572079	7.753596	1.408239	1.491076	-0.165675	0.001013	-0.214133	4.177093	-0.931367	100.730484	-0.931422	-0.248513	0.000346	0.000000	0.005020	0.000862
0.000000	3.854390	4.262924	0.626763	-2.087507	0.911213	0.828376	-0.248513	0.003667	-0.214133	3.519058	-0.931367	100.730484	-0.931422	-0.248513	0.000396	0.000000	0.004680	0.000742
0.000000	3.854390	3.633499	0.534221	6.262520	0.414188	1.739589	-0.248513	0.000450	-0.214133	4.005432	-0.310493	100.730484	-0.310493	-0.165675	0.000169	0.000000	0.004117	0.000566
0.000000	3.854390	4.177093	0.614143	0.894646	0.497025	1.988102	-0.165675	0.002487	-0.214133	3.633499	-0.931367	100.730484	-0.931367	-0.248513	0.000449	0.000000	0.002938	0.000619
0.000000	99.785867	3.976822	0.584698	26.541157	1.988102	93.026588	0.331350	0.042558	-0.214133	7.610321	4.035922	100.730484	4.036163	-0.828376	0.050761	0.000000	0.045045	0.051210
0.000000	99.785867	101.823799	14.970800	-77.237747	27.999098	-21.454929	-0.082838	-0.179038	-0.214133	103.254311	-2.794100	100.730484	-0.620911	-0.165675	-0.010984	0.000000	-0.136480	0.039777
0.000000	99.785867	96.788399	14.230462	23.857220	10.603209	9.774833	-0.248513	-0.257561	-0.214133	97.103111	-0.620911	100.730484	-0.620911	-0.248513	0.009686	0.000000	-0.436599	-0.001298
0.000000	99.785867	100.965492	14.844606	-9.841103	4.390391	1.325401	-0.165675	0.302264	-0.214133	100.164406	-0.931367	100.730484	-1.241822	-0.331350	0.013480	0.000000	0.044703	0.023165
