Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	TorqueEst. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	Torque\sEst.\s	I           	I_q         	I_d         	Power   	Torque_Ref	Energy_Speed	Energy_Torque
0.000000	0.000000	0.000000	0.000000	-1.491076	0.000000	-0.331350	-0.165675	-0.020049	-55.654656	-0.000000	-18.312490	100.813316	-56.182358	-14.993600	-0.017941	-55.420911	-0.020049	-0.017941
0.000000	0.000000	-1.258850	-0.185084	-38.767982	7.869569	-13.916711	-0.248513	-0.663758	138.116635	1.859665	-60.838356	101.476021	131.004395	34.957455	0.243906	137.943255	-0.683808	0.225965
0.000000	0.000000	-2.489090	-0.365962	171.175552	39.099331	44.980797	-0.248513	-0.000393	138.352990	-1.487732	136.584076	106.777626	136.894501	36.531368	0.030007	138.247762	-0.664152	0.273913
0.000000	0.000000	-0.114441	-0.016826	162.825516	44.400936	44.897961	-0.331350	0.144914	19.573460	-0.057220	68.292038	106.446274	68.292038	4.721741	-0.031330	19.488671	0.144520	-0.001323
0.000000	0.000000	0.772476	0.113574	26.839371	11.680097	9.112132	-0.165675	0.002654	7.310638	-0.228882	17.385509	100.978996	6.519566	1.739589	-0.000558	7.308252	0.147567	-0.031888
0.000000	0.000000	0.028610	0.004206	11.630394	3.893366	3.230665	-0.165675	0.001126	-6.131445	0.028610	2.173189	100.730484	2.173189	-1.822426	0.001760	-6.090210	0.003779	0.001202
0.000000	0.000000	-0.028610	-0.004206	-0.894646	0.248513	-0.165675	-0.082838	0.000016	-0.471650	0.028610	-6.829204	100.730484	-1.862510	-0.497025	-0.000039	-0.304510	0.001142	0.001721
0.000000	0.000000	0.000000	0.000000	4.771444	0.165675	1.325401	-0.165675	0.000000	0.235825	-0.000000	-0.620985	100.730484	-0.931478	-0.248513	0.000000	0.000000	0.000016	-0.000039
0.000000	0.000000	-0.028610	-0.004206	3.578583	0.000000	1.076888	-0.165675	0.000000	-0.235825	-0.000000	-0.930976	100.647644	-0.930976	-0.248513	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	3.876798	0.082838	1.076888	-0.165675	0.000000	0.235825	-0.000000	-0.930921	100.647644	-0.930921	-0.248513	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	-0.028610	-0.004206	3.876798	0.000000	1.076888	-0.165675	0.000000	-0.235825	-0.000000	-0.930865	100.730484	-0.930865	-0.248513	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	3.876798	0.082838	0.994051	-0.082838	0.000000	0.235825	-0.000000	-0.930865	100.647644	-0.930865	-0.248513	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	3.876798	0.000000	1.076888	-0.165675	0.000000	0.000000	-0.000000	-0.930921	100.730484	-0.930921	-0.248513	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	-0.028610	-0.004206	3.876798	0.000000	0.994051	-0.165675	-0.000012	-0.235825	-0.000000	-0.930921	100.647644	-0.930921	-0.248513	0.000000	0.000000	-0.000012	0.000000
0.000000	0.000000	-0.028610	-0.004206	3.876798	0.000000	1.076888	-0.165675	0.000000	0.000000	-0.000000	-0.930921	100.647644	-0.930976	-0.248513	0.000000	0.000000	-0.000012	0.000000
0.000000	0.000000	0.000000	0.000000	3.876798	0.000000	1.076888	-0.165675	-0.000011	0.235825	-0.000000	-0.930921	100.647644	-0.930921	-0.248513	0.000000	0.000000	-0.000011	0.000000
0.000000	0.000000	0.000000	0.000000	3.876798	0.000000	0.994051	-0.165675	-0.000011	0.000000	-0.000000	-0.930921	100.647644	-0.930921	-0.248513	0.000000	0.000000	-0.000021	0.000000
0.000000	0.000000	-0.028610	-0.004206	3.876798	0.000000	1.076888	-0.165675	0.000000	-0.235825	-0.000000	-0.930921	100.730484	-0.930921	-0.248513	0.000000	0.000000	-0.000011	0.000000
0.000000	0.000000	0.000000	0.000000	3.876798	0.082838	0.994051	-0.165675	-0.000011	0.235825	-0.000000	-0.930976	100.730484	-0.930976	-0.248513	0.000000	0.000000	-0.000011	0.000000
0.000000	0.000000	-0.028610	-0.004206	3.876798	0.000000	1.076888	-0.165675	-0.000012	-0.235825	-0.000000	-0.930921	100.730484	-0.930976	-0.248513	0.000000	0.000000	-0.000022	0.000000
0.000000	0.000000	-0.028610	-0.004206	3.578583	0.000000	0.994051	-0.165675	0.000000	0.000000	-0.000000	-0.930921	100.647644	-0.930976	-0.248513	0.000000	0.000000	-0.000012	0.000000
0.000000	0.000000	0.000000	0.000000	3.578583	0.000000	1.076888	-0.165675	0.000000	0.235825	-0.000000	-0.930921	100.730484	-0.930921	-0.248513	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	3.876798	0.000000	0.994051	-0.165675	0.000000	0.000000	-0.000000	-0.930976	100.730484	-0.930976	-0.248513	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	-0.028610	-0.004206	3.578583	0.000000	1.076888	-0.165675	-0.000011	-0.235825	-0.000000	-0.930921	100.730484	-0.930921	-0.248513	0.000000	0.000000	-0.000011	0.000000
0.000000	0.000000	-0.028610	-0.004206	3.578583	0.000000	1.076888	-0.082838	0.000000	0.000000	-0.000000	-0.930921	100.730484	-0.930976	-0.248513	0.000000	0.000000	-0.000011	0.000000
0.000000	0.000000	-0.028610	-0.004206	3.578583	0.000000	0.994051	-0.082838	0.000000	0.000000	-0.000000	-0.930976	100.647644	-0.930976	-0.248513	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	-0.028610	-0.004206	3.578583	0.000000	0.994051	-0.165675	-0.000011	0.000000	-0.000000	-0.930921	100.730484	-0.930921	-0.248513	0.000000	0.000000	-0.000011	0.000000
0.000000	0.000000	-0.028610	-0.004206	3.578583	0.000000	0.994051	-0.165675	0.000000	0.000000	-0.000000	-0.930921	100.647644	-0.930921	-0.248513	0.000000	0.000000	-0.000011	0.000000
0.000000	0.000000	-0.028610	-0.004206	3.578583	0.000000	0.994051	-0.165675	0.000000	0.000000	-0.000000	-0.930976	100.730484	-0.930976	-0.248513	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	-0.028610	-0.004206	3.578583	0.000000	0.994051	-0.165675	-0.000011	0.000000	-0.000000	-0.930976	100.730484	-0.930976	-0.248513	0.000000	0.000000	-0.000011	0.000000
0.000000	0.000000	0.000000	0.000000	3.578583	0.000000	0.994051	-0.165675	-0.000010	0.235825	-0.000000	-0.930921	100.647644	-0.930921	-0.248513	0.000000	0.000000	-0.000021	0.000000
0.000000	0.000000	0.000000	0.000000	3.578583	0.000000	0.994051	-0.165675	-0.000011	0.000000	-0.000000	-0.930976	100.730484	-0.930976	-0.248513	0.000000	0.000000	-0.000021	0.000000
0.000000	0.000000	-0.028610	-0.004206	3.578583	0.000000	0.994051	-0.165675	0.000000	-0.235825	-0.000000	-0.930921	100.647644	-0.930921	-0.248513	0.000000	0.000000	-0.000011	0.000000
