Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	TorqueEst. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	Torque\sEst.\s	I           	I_q         	I_d         	Power   	Torque_Ref
0.000000	1.165049	-0.028610	-0.004206	0.000000	0.000000	1.159726	-0.248513	0.000513	0.000000	-0.000000	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000
1.000000	1.165049	0.944138	0.138813	-2.385722	0.082838	0.911213	-0.248513	0.000536	0.000000	1.201630	-0.000019	0.000000	-0.000019	-0.082838	0.000000	0.000000
2.000000	1.165049	1.058578	0.155639	2.982152	0.000000	0.248513	-0.248513	-0.000193	0.000000	1.029968	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000
3.000000	1.165049	1.115799	0.164052	0.298215	0.000000	0.994051	-0.165675	0.000350	0.000000	1.316070	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000
4.000000	1.165049	1.029968	0.151433	1.491076	0.000000	0.414188	-0.165675	-0.000035	0.000000	1.058578	-0.000019	0.000000	-0.000019	-0.082838	0.000000	0.000000
5.000000	47.378641	1.316070	0.193497	0.894646	7.786731	40.673244	-0.082838	0.226788	0.000000	1.287460	-0.000019	0.000000	-0.000037	-0.082838	0.000000	0.000000
6.000000	47.378641	48.379894	7.113128	-48.012653	15.821976	-13.336848	-0.165675	-0.061875	0.000000	51.298138	0.000000	0.000000	0.000000	-0.165675	0.000000	0.000000
7.000000	47.378641	44.803616	6.587320	16.401838	7.786731	7.372543	-0.248513	-0.120685	0.000000	46.434399	-0.000019	0.082838	-0.000019	0.000000	0.000000	0.000000
8.000000	47.378641	48.780437	7.172018	-14.314331	4.638904	-1.242563	-0.165675	-0.020076	0.000000	48.809048	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000
9.000000	47.378641	47.006603	6.911218	14.016116	2.899315	3.893366	-0.165675	0.046773	0.000000	48.408504	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000
10.000000	96.310680	47.664639	7.007966	19.085775	10.603209	44.069584	0.000000	-0.093974	0.000000	46.548840	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000
11.000000	96.310680	100.107185	14.718412	-55.468033	16.236162	-15.407787	-0.082838	-0.025652	0.000000	100.936882	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000
12.000000	96.310680	93.612663	13.763545	25.646511	8.035244	6.295655	-0.248513	-0.272122	0.000000	94.785683	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000
13.000000	199.611650	97.932808	14.398721	-2.683937	5.467279	99.073730	0.579863	6.420086	0.000000	98.104469	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000
14.000000	199.611650	207.052216	30.442169	-116.303947	31.395437	-0.165675	-0.165675	2.515645	0.000000	209.283813	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000
15.000000	101.747573	195.779785	28.784823	56.064465	25.762484	-64.778976	0.165675	-0.713489	0.000000	195.808395	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000
16.000000	101.747573	91.381065	13.435441	79.921684	32.969353	22.697493	-0.331350	-1.271047	0.000000	96.817009	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000
17.000000	101.747573	106.344215	15.635421	-19.383991	14.413736	-11.183071	-0.165675	0.494032	0.000000	103.082649	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000
18.000000	101.747573	100.822441	14.823574	36.680473	7.952406	-1.573914	-0.248513	-0.064288	0.000000	98.876945	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000
19.000000	101.747573	103.397362	15.202155	-14.016116	4.473228	-3.893366	-0.165675	0.219046	0.000000	103.425972	0.000000	0.082838	0.000000	-0.082838	0.000000	0.000000
20.000000	101.747573	100.536339	14.781509	10.139318	3.313503	4.390391	-0.165675	-0.055060	0.000000	101.280205	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000
21.000000	199.611650	102.367393	15.050723	3.578583	1.656751	0.994051	0.662701	5.032233	0.000000	101.766579	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000
22.000000	302.912621	201.873764	29.680799	-19.682205	30.981251	89.713081	0.497025	9.892056	0.000000	207.366928	-0.000019	0.082838	-0.000019	-0.082838	0.000001	0.000000
23.000000	302.912621	308.246582	45.320426	64.712708	31.643951	-29.821524	-0.497025	-3.469306	0.000000	296.831116	-0.000019	0.165675	-0.000019	-0.082838	0.000001	0.000000
24.000000	403.495146	300.207123	44.138412	73.659164	30.732737	96.422928	-2.733640	-2.747812	0.000000	298.862427	-0.000019	0.165675	-0.000037	-0.165675	0.000001	0.000000
25.000000	403.495146	409.212097	60.165035	-111.532501	32.886513	7.041193	0.662701	4.539159	0.000000	397.481903	-0.000019	0.165675	-0.000019	-0.082838	0.000001	0.000000
26.000000	403.495146	400.257080	58.848410	62.326984	13.833874	3.147828	-0.248513	-1.790770	0.000000	399.341553	-0.000019	0.248513	-0.000019	-0.082838	0.000002	0.000000
