Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	TorqueEst. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	Torque\sEst.\s	I           	I_q         	I_d         	Power   	Torque_Ref	Energy_Speed	Energy_Torque
0.000000	6.852248	0.000000	0.000000	-1.192861	1.242563	6.295655	-0.165675	0.016881	0.000000	0.514984	-1.551999	100.730484	-0.931199	-0.331350	0.001350	0.000000	0.016881	0.001350
0.000000	6.852248	6.895065	1.013757	15.507193	3.064990	9.360645	-0.165675	-0.575313	205.331993	5.922317	37.252434	103.712631	203.944855	54.921307	-0.099897	205.240067	-0.558432	-0.098547
0.000000	6.852248	5.407333	0.795021	263.025848	64.281952	62.045338	-0.082838	0.191243	136.233217	5.607605	173.844681	113.404633	134.721573	35.951504	-0.016953	136.116204	-0.367189	-0.115499
0.000000	6.852248	7.381439	1.085267	174.455917	49.205513	46.968899	-0.248513	0.027619	164.770925	7.266998	135.677185	107.688835	163.930328	43.738235	-0.093317	164.740172	-0.339570	-0.208817
0.000000	6.852248	7.123947	1.047409	203.382797	56.081032	56.163872	-0.331350	0.185256	146.376159	6.923675	159.564590	109.594101	144.974045	38.685143	-0.093820	146.165035	-0.154314	-0.302636
0.000000	105.781585	7.095336	1.043203	189.068466	67.264107	129.475113	-0.579863	5.325135	148.262711	15.048980	146.863037	108.103027	150.579941	40.176220	-2.247652	147.992104	5.170822	-2.550288
0.000000	105.781585	111.865990	16.447268	155.370148	53.678741	48.874165	-0.497025	-7.049945	1013.522914	107.202522	203.062210	110.256798	1006.116699	268.393707	25.433784	1013.410949	-1.879124	22.883497
0.000000	105.781585	-1037.578491	-152.551566	539.769592	145.959793	150.018829	-0.165675	-65.155319	-9202.147422	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-67.034439	22.883497
0.000000	12.847966	-474.758118	-69.802039	0.000000	0.000000	0.000000	0.000000	0.000000	4813.569550	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-67.034439	22.883497
0.000000	12.847966	-67.205421	-9.880980	0.000000	0.000000	0.000000	0.000000	0.000000	3508.336925	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-67.034439	22.883497
0.000000	12.847966	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	553.952460	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-67.034439	22.883497
