Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	TorqueEst. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	Torque\sEst.\s	I           	I_q         	I_d         	Power   	Torque_Ref
0.000000	2.330097	0.000000	0.000000	-0.298215	0.165675	1.656751	-0.165675	0.001901	0.000000	-0.028610	0.000000	0.000000	0.000000	-0.082838	0.000000	-1.218042
1.000000	2.330097	2.231598	0.328104	1.192861	0.331350	0.331350	-0.165675	0.002377	166.887651	2.460479	-0.000019	0.082838	-0.000019	-0.082838	0.000000	-1.218042
2.000000	2.330097	2.088547	0.307072	6.262520	0.414188	1.739589	-0.248513	0.000941	147.314121	2.288818	0.000000	0.082838	0.000000	0.000000	0.000000	-1.218042
3.000000	2.330097	2.489090	0.365962	3.578583	0.248513	-0.497025	-0.082838	0.001287	151.795004	2.403259	0.000000	0.082838	-0.000019	-0.082838	0.000000	-1.218042
4.000000	2.330097	2.117157	0.311278	1.789291	0.000000	1.159726	-0.248513	-0.000268	145.427537	2.546310	-0.000019	0.000000	0.000000	0.000000	0.000000	-1.218042
5.000000	2.330097	2.346039	0.344930	3.578583	0.082838	-0.165675	-0.165675	0.000102	150.379976	2.260208	-0.000019	0.000000	-0.000019	-0.082838	0.000000	-1.218042
6.000000	0.000000	2.145767	0.315485	1.491076	0.082838	-0.828376	-0.248513	0.000244	146.842500	2.231598	-0.000019	0.082838	-0.000019	0.000000	0.000000	-1.218042
7.000000	39.611650	-0.028610	-0.004206	34.891182	1.905264	9.691996	-0.248513	0.653068	-17.922685	-0.000000	0.000000	0.000000	-0.000019	-0.082838	0.000000	-1.218042
8.000000	100.194175	42.743679	6.284455	20.875067	16.070488	21.537767	-0.248513	1.805513	501.261026	41.198727	-0.000019	0.082838	-0.000037	-0.165675	0.000000	0.000000
9.000000	100.194175	105.743401	15.547085	-11.332179	18.555614	-16.153326	-0.165675	0.480868	669.065414	94.757072	0.000000	0.082838	0.000000	0.000000	0.000000	-1.218042
10.000000	100.194175	97.875587	14.390308	43.539425	9.691996	12.094285	-0.331350	-0.054151	84.743033	98.991386	-0.000019	0.082838	-0.000019	-0.082838	0.000000	-1.218042
11.000000	100.194175	102.052681	15.004452	-8.051811	5.053092	-4.141878	-0.165675	0.245989	184.121365	102.081291	0.000000	0.082838	0.000000	0.000000	0.000000	-1.218042
12.000000	100.194175	98.934166	14.545947	12.525040	3.396340	4.141878	-0.165675	-0.079742	123.913924	100.965492	-0.000019	0.082838	-0.000019	-0.082838	0.000000	-1.218042
13.000000	100.194175	99.906914	14.688967	1.789291	1.822426	-1.159726	-0.165675	-0.043417	157.659127	99.678032	-0.000019	0.082838	0.000000	0.000000	-0.006119	-1.218042
14.000000	100.194175	100.278847	14.743651	0.000000	0.994051	2.319452	-0.165675	0.125872	152.715372	100.450508	-1.950819	95.925903	-0.990797	-0.331350	0.010221	-1.218042
15.000000	100.194175	100.049965	14.709999	10.139318	1.242563	2.816477	-0.248513	0.101155	147.757775	100.164406	-2.376157	100.564804	-2.383442	-0.662701	0.025137	-1.218042
16.000000	100.194175	100.479118	14.773096	8.648242	1.325401	0.331350	-0.248513	0.012541	153.191647	100.393288	-2.153936	100.730484	-1.539362	-0.414188	0.016326	-1.218042
17.000000	100.194175	99.964134	14.697380	8.350027	0.994051	2.070939	-0.165675	0.084143	145.397552	99.935524	-0.929861	100.730484	-2.169806	-0.579863	0.022888	-1.218042
18.000000	100.194175	100.193016	14.731032	8.051811	0.911213	2.070939	-0.248513	0.037386	151.534268	100.193016	-2.172408	100.730484	-0.931088	-0.248513	0.016286	-1.218042
19.000000	100.194175	100.479118	14.773096	1.491076	0.745538	1.656751	-0.165675	0.059433	152.012523	100.536339	-1.241673	100.730484	-2.172929	-0.579863	0.022820	-1.218042
20.000000	100.194175	100.078575	14.714206	7.455381	0.911213	1.905264	-0.165675	0.096803	146.343485	99.992744	-2.173059	100.813316	-2.173059	-0.579863	0.006498	-1.218042
21.000000	100.194175	100.135796	14.722619	9.542888	0.911213	1.656751	-0.165675	0.043455	150.118000	100.164406	-1.241822	100.813316	-1.241896	-0.331350	0.013130	-1.218042
22.000000	100.194175	100.536339	14.781509	1.491076	0.745538	0.414188	-0.165675	0.071698	152.957146	100.622169	-0.931367	100.730484	-2.173189	-0.579863	0.022678	-1.218042
23.000000	100.194175	100.135796	14.722619	8.648242	0.994051	1.822426	-0.248513	0.087760	146.344803	100.135796	-2.173189	100.730484	-2.173189	-0.248513	0.009817	-1.218042
24.000000	100.194175	100.078575	14.714206	8.350027	0.911213	2.319452	-0.248513	0.040908	149.173383	100.107185	-1.552278	100.730484	-1.552278	-0.579863	0.022951	-1.218042
25.000000	100.194175	100.564949	14.785716	2.087507	0.828376	1.076888	-0.165675	0.040258	153.665282	100.736610	-2.173189	100.730484	-2.173189	-0.579863	0.022634	-1.218042
26.000000	100.194175	99.964134	14.697380	8.946457	0.994051	2.485127	-0.165675	0.074901	144.690077	100.021355	-2.483793	100.730484	-0.931422	-0.248513	0.016310	-1.218042
27.000000	100.194175	99.935524	14.693173	9.244673	0.911213	2.567965	-0.248513	0.037687	149.405916	99.992744	-1.552185	100.730484	-2.173189	-0.579863	0.022729	-1.218042
28.000000	100.194175	100.450508	14.768890	2.087507	0.745538	1.325401	-0.165675	0.059636	153.898460	100.708000	-2.173189	100.730484	-0.620911	-0.165675	0.006465	-1.218042
29.000000	100.194175	99.878304	14.684760	7.753596	1.076888	2.402289	-0.248513	0.071760	144.923929	99.906914	-0.931478	100.730484	-1.552371	-0.414188	0.022808	-1.218042
30.000000	100.194175	99.964134	14.697380	7.753596	0.994051	2.153777	-0.165675	0.037429	150.349873	99.878304	-2.173319	100.730484	-1.862733	-0.497025	0.019601	-1.218042
31.000000	100.194175	100.536339	14.781509	0.298215	0.828376	1.905264	-0.165675	0.071411	154.372095	100.536339	-2.173189	100.730484	-0.931311	-0.497025	0.019320	-1.218042
32.000000	100.194175	99.849693	14.680554	8.648242	1.159726	2.485127	-0.248513	0.078201	143.979972	99.821083	-1.552278	100.730484	-2.173059	-0.579863	0.022847	-1.218042
33.000000	100.194175	100.021355	14.705793	8.648242	0.911213	1.573914	-0.248513	0.040351	151.058664	100.078575	-2.173189	100.730484	-0.620911	-0.165675	0.006558	-1.218042
34.000000	100.194175	100.536339	14.781509	1.491076	0.828376	1.988102	-0.165675	0.059416	153.900445	100.622169	-1.862733	100.730484	-2.173319	-0.579863	0.019573	-1.218042
35.000000	100.194175	100.049965	14.709999	9.542888	0.994051	1.822426	-0.165675	0.041083	145.635352	99.906914	-2.173189	100.813316	-2.173189	-0.082838	0.003247	-1.218042
36.000000	100.194175	100.135796	14.722619	8.946457	0.911213	1.573914	-0.248513	0.059891	150.353825	100.193016	-0.620911	100.730484	-0.620948	-0.497025	0.019673	-1.218042
37.000000	100.194175	100.564949	14.785716	3.578583	0.745538	0.745538	-0.165675	0.081422	153.193632	100.708000	-1.862733	100.730484	-2.173189	-0.579863	0.019478	-1.218042
38.000000	100.194175	100.135796	14.722619	9.841103	1.076888	2.733640	-0.248513	0.065726	146.108978	100.021355	-1.862733	100.730484	-1.862845	-0.165675	0.006550	-1.218042
39.000000	100.194175	100.049965	14.709999	8.946457	0.911213	2.485127	-0.165675	0.047189	148.936899	100.107185	-0.620911	100.730484	-1.862845	-0.497025	0.022964	-1.218042
40.000000	100.194175	100.564949	14.785716	1.789291	0.828376	1.076888	-0.165675	0.072150	153.901107	100.765221	-2.173059	100.730484	-2.173189	-0.579863	0.022627	-1.218042
41.000000	100.194175	100.193016	14.731032	8.648242	0.994051	2.402289	-0.165675	0.074880	146.581947	99.992744	-0.620874	100.730484	-0.620911	-0.165675	0.022813	-1.218042
42.000000	100.194175	99.906914	14.688967	9.542888	0.994051	2.650802	-0.248513	0.034526	147.282835	99.935524	-1.862622	100.730484	-2.173189	-0.579863	0.019712	-1.218042
43.000000	100.194175	100.421898	14.764683	2.087507	0.828376	1.408239	-0.165675	0.059585	153.897799	100.708000	-2.173059	100.730484	-0.620874	-0.165675	0.022813	-1.218042
44.000000	100.194175	99.906914	14.688967	7.753596	0.994051	1.988102	-0.165675	0.066195	145.396236	99.906914	-2.172929	100.730484	-2.172929	-0.579863	0.022779	-1.218042
45.000000	100.194175	100.021355	14.705793	7.157166	0.911213	1.159726	-0.165675	0.096803	150.587015	99.935524	-2.172929	100.813316	-1.862510	-0.497025	0.009774	-1.218042
46.000000	100.194175	100.278847	14.743651	0.298215	0.828376	1.822426	-0.248513	0.069013	151.772072	100.650780	-0.620837	100.730484	-2.172929	-0.579863	0.022833	-1.218042
47.000000	100.194175	100.250237	14.739444	7.455381	0.994051	2.153777	-0.248513	0.081166	149.413164	99.906914	-2.173189	100.730484	-2.173059	-0.414188	0.016282	-1.218042
48.000000	100.194175	99.964134	14.697380	6.560735	0.828376	1.822426	-0.248513	0.043530	147.284151	99.849693	-1.862733	100.813316	-0.620911	-0.165675	0.006554	-1.218042
49.000000	100.194175	100.193016	14.731032	1.491076	0.745538	1.739589	-0.165675	0.065520	151.534268	100.507729	-2.173189	100.730484	-2.173059	-0.331350	0.013015	-1.218042
50.000000	100.194175	100.107185	14.718412	6.858951	0.911213	2.402289	-0.165675	0.028442	148.938217	100.021355	-1.552278	100.813316	-0.931367	-0.248513	0.023108	-1.218042
51.000000	100.194175	100.049965	14.709999	8.350027	0.745538	1.408239	-0.248513	0.065126	149.172724	99.878304	-0.620948	100.730484	-2.173189	-0.579863	0.022653	-1.218042
52.000000	100.194175	100.564949	14.785716	2.982152	0.745538	1.905264	-0.248513	0.072089	153.901107	100.708000	-2.173059	100.730484	-2.173059	-0.331350	0.013011	-1.218042
53.000000	100.194175	100.107185	14.718412	5.964305	0.911213	1.656751	-0.165675	0.087860	145.872494	100.164406	-1.241748	100.730484	-1.241748	-0.579863	0.022800	-1.218042
54.000000	100.194175	99.964134	14.697380	1.789291	0.828376	2.485127	-0.248513	0.040885	148.463275	100.193016	-2.173059	100.730484	-1.862845	-0.497025	0.022964	-1.218042
55.000000	100.194175	99.878304	14.684760	8.648242	1.076888	1.739589	-0.248513	0.065520	148.932951	99.906914	-1.862733	100.730484	-0.931311	-0.579863	0.022833	-1.218042
56.000000	100.194175	100.278847	14.743651	2.087507	0.745538	1.656751	-0.165675	0.050163	152.951197	100.593559	-0.931367	100.730484	-0.931311	-0.497025	0.019398	-1.218042
57.000000	100.194175	100.307457	14.747857	7.753596	0.745538	1.076888	-0.248513	0.071842	149.886134	99.992744	-2.173189	100.730484	-2.173059	-0.579863	0.022665	-1.218042
58.000000	100.194175	100.193016	14.731032	5.666090	0.662701	2.319452	-0.165675	0.087085	148.704370	100.107185	-2.173319	100.730484	-2.173059	-0.579863	0.022613	-1.218042
59.000000	100.194175	100.078575	14.714206	8.051811	0.994051	1.491076	-0.248513	0.056835	148.701733	100.164406	-2.173189	100.730484	-0.620911	-0.165675	0.006582	-1.218042
60.000000	100.194175	100.336067	14.752064	7.157166	0.745538	1.242563	-0.248513	0.100126	151.773393	99.906914	-0.931367	100.730484	-0.931367	-0.414188	0.016273	-1.218042
61.000000	100.194175	100.193016	14.731032	1.192861	0.745538	1.905264	-0.248513	0.059484	148.468545	100.536339	-1.552278	100.730484	-2.173189	-0.579863	0.022624	-1.218042
62.000000	100.194175	100.250237	14.739444	6.560735	0.911213	2.319452	-0.165675	0.044243	150.120639	100.364677	-2.173059	100.813316	-0.931367	-0.248513	0.009747	-1.218042
63.000000	100.194175	99.935524	14.693173	6.262520	0.911213	1.242563	-0.165675	0.046599	147.047668	99.821083	-0.931367	100.730484	-1.552278	-0.414188	0.022717	-1.218042
64.000000	100.194175	100.078575	14.714206	1.789291	0.828376	2.153777	-0.248513	0.062471	150.824157	100.336067	-2.173059	100.730484	-1.862733	-0.497025	0.019438	-1.218042
65.000000	100.194175	100.135796	14.722619	6.560735	0.994051	2.319452	-0.248513	0.028394	150.118000	100.021355	-0.931367	100.730484	-1.862733	-0.497025	0.023080	-1.218042
66.000000	100.194175	100.107185	14.718412	4.175014	0.828376	1.905264	-0.165675	0.071246	149.409867	99.906914	-2.173319	100.730484	-2.173319	-0.579863	0.022614	-1.218042
67.000000	100.194175	99.992744	14.701586	3.280368	0.745538	1.988102	-0.165675	0.065407	148.699758	100.221626	-2.483644	100.730484	-0.620911	-0.165675	0.006504	-1.218042
68.000000	100.194175	100.135796	14.722619	6.858951	0.994051	1.905264	-0.248513	0.015676	150.825475	100.078575	-1.862733	100.730484	-1.862733	-0.497025	0.022880	-1.218042
69.000000	100.194175	100.250237	14.739444	3.578583	0.745538	2.319452	-0.165675	0.084988	150.592288	99.992744	-2.173059	100.730484	-2.173059	-0.579863	0.022951	-1.218042
70.000000	100.194175	99.935524	14.693173	4.771444	0.828376	1.988102	-0.165675	0.077933	147.047668	100.107185	-0.620911	100.730484	-2.173189	-0.579863	0.022795	-1.218042
71.000000	100.194175	100.221626	14.735238	7.157166	0.994051	1.573914	-0.165675	0.012480	152.006577	100.164406	-1.552185	100.730484	-2.173189	-0.579863	0.022979	-1.218042
72.000000	100.194175	100.278847	14.743651	8.648242	0.828376	1.076888	-0.165675	0.090324	150.121299	100.078575	-1.862622	100.730484	-0.620874	-0.165675	0.006543	-1.218042
73.000000	100.194175	100.021355	14.705793	5.367874	0.662701	1.739589	-0.165675	0.096554	147.521292	100.078575	-1.862733	100.730484	-2.173319	-0.579863	0.022802	-1.218042
74.000000	100.194175	100.221626	14.735238	8.350027	0.994051	2.319452	-0.248513	0.050578	151.299103	100.250237	-2.173189	100.730484	-2.173189	-0.579863	0.006589	-1.218042
75.000000	100.194175	100.450508	14.768890	3.876798	0.745538	1.076888	-0.165675	0.099983	151.540212	100.250237	-0.620911	100.730484	-2.173059	-0.579863	0.022761	-1.218042
76.000000	100.194175	99.992744	14.701586	7.157166	0.994051	2.733640	-0.248513	0.041036	145.869860	100.049965	-1.862733	100.730484	-0.620874	-0.165675	0.006479	0.000000
77.000000	100.194175	100.107185	14.718412	9.841103	1.076888	2.733640	-0.248513	0.031673	150.588991	100.278847	-2.173189	100.730484	-0.310456	-0.082838	0.023145	-1.218042
78.000000	100.194175	100.479118	14.773096	6.262520	0.828376	1.159726	-0.248513	0.093841	152.719997	100.307457	-1.862622	100.730484	-2.173059	-0.579863	0.016254	-1.218042
79.000000	100.194175	100.164406	14.726825	6.262520	0.662701	2.070939	-0.248513	0.077844	147.052937	100.450508	-1.862845	100.813316	-1.862845	-0.248513	0.009725	-1.218042
80.000000	100.194175	100.021355	14.705793	9.542888	1.076888	0.579863	-0.165675	0.031012	148.464591	100.221626	-1.862733	100.730484	-2.483793	-0.662701	0.012945	-1.218042
81.000000	100.194175	100.393288	14.760477	5.069659	0.828376	1.905264	-0.248513	0.078558	152.718014	100.307457	-2.173059	100.813316	-1.552278	-0.248513	0.009808	-1.218042
82.000000	100.194175	99.992744	14.701586	5.964305	0.745538	1.739589	-0.248513	0.103697	146.341509	100.164406	-0.931367	100.730484	-2.173189	-0.579863	0.022639	-1.218042
83.000000	100.194175	100.078575	14.714206	6.262520	0.994051	2.153777	-0.248513	0.018811	150.352507	100.221626	-2.173189	100.730484	-2.173189	-0.579863	0.013153	-1.218042
84.000000	100.194175	100.250237	14.739444	3.876798	0.745538	1.076888	-0.165675	0.087060	151.063938	99.992744	-1.862733	100.730484	-1.862845	-0.248513	0.009691	-1.218042
85.000000	100.194175	100.021355	14.705793	5.367874	0.662701	1.491076	-0.248513	0.083854	147.757117	100.107185	-0.620911	100.730484	-2.173189	-0.579863	0.022593	-1.218042
86.000000	100.194175	100.164406	14.726825	6.560735	1.076888	1.491076	-0.248513	0.056691	150.826134	100.250237	-2.483644	100.730484	-1.241822	-0.331350	0.013131	-1.218042
87.000000	100.194175	100.364677	14.756270	4.175014	0.745538	1.159726	-0.165675	0.103078	151.302404	100.193016	-1.552185	100.730484	-0.931311	-0.248513	0.022650	-1.218042
