0;0.0 ;0.0 ;0.00;0.0
1;0.0 ;0.0 ;0.00;0.0
2;0.0 ;0.0 ;0.00;0.0
3;0.0 ;0.0 ;0.00;0.0
4;0.0 ;0.0 ;0.00;0.0
5;0.0 ;0.0 ;0.00;0.0
6;0.0 ;0.0 ;0.00;0.0
7;0.0 ;0.0 ;0.00;0.0
8;0.0 ;0.0 ;0.00;0.0
9;0.0 ;0.0 ;0.00;0.0
10;0.0 ;0.0 ;0.00;0.0
11;0.0 ;0.0 ;0.00;0.0
12;0.2 ;2.1 ;0.06;2.1
13;1.7 ;18.0 ;0.47;18.0
14;5.4 ;57.3 ;1.50;57.3
15;9.9 ;105.0 ;2.75;105.0
16;13.1 ;139.0 ;3.64;139.0
17;16.9 ;179.3 ;4.69;179.3
18;21.7 ;230.2 ;6.03;230.2
19;26.0 ;275.9 ;7.22;275.9
20;27.5 ;291.8 ;7.64;291.8
21;28.1 ;298.2 ;7.81;298.2
22;28.3 ;300.3 ;7.86;300.3
23;28.8 ;305.6 ;8.00;305.6
24;29.1 ;308.8 ;8.08;308.8
25;30.8 ;326.8 ;8.56;326.8
26;31.9 ;338.5 ;8.86;338.5
27;34.1 ;361.8 ;9.47;361.8
28;36.6 ;388.3 ;10.17;388.3
29;39.1 ;414.9 ;10.86;414.9
30;41.3 ;438.2 ;11.47;438.2
31;42.5 ;450.9 ;11.81;450.9
32;43.3 ;459.4 ;12.03;459.4
33;43.9 ;465.8 ;12.19;465.8
34;44.4 ;471.1 ;12.33;471.1
35;44.5 ;472.2 ;12.36;472.2
36;44.2 ;469.0 ;12.28;469.0
37;42.7 ;453.1 ;11.86;453.1
38;39.9 ;423.4 ;11.08;423.4
39;37.0 ;392.6 ;10.28;392.6
40;34.6 ;367.1 ;9.61;367.1
41;32.3 ;342.7 ;8.97;342.7
42;29.0 ;307.7 ;8.06;307.7
43;25.1 ;266.3 ;6.97;266.3
44;22.2 ;235.5 ;6.17;235.5
45;20.9 ;221.8 ;5.81;221.8
46;20.4 ;216.5 ;5.67;216.5
47;19.5 ;206.9 ;5.42;206.9
48;18.4 ;195.2 ;5.11;195.2
49;17.8 ;188.9 ;4.94;188.9
50;17.8 ;188.9 ;4.94;188.9
51;17.4 ;184.6 ;4.83;184.6
52;15.7 ;166.6 ;4.36;166.6
53;13.1 ;139.0 ;3.64;139.0
54;12.1 ;128.4 ;3.36;128.4
55;12.0 ;127.3 ;3.33;127.3
56;12.0 ;127.3 ;3.33;127.3
57;12.0 ;127.3 ;3.33;127.3
58;12.3 ;130.5 ;3.42;130.5
59;12.6 ;133.7 ;3.50;133.7
60;14.7 ;156.0 ;4.08;156.0
61;15.3 ;162.3 ;4.25;162.3
62;15.9 ;168.7 ;4.42;168.7
63;16.2 ;171.9 ;4.50;171.9
64;17.1 ;181.4 ;4.75;181.4
65;17.8 ;188.9 ;4.94;188.9
66;18.1 ;192.0 ;5.03;192.0
67;18.4 ;195.2 ;5.11;195.2
68;20.3 ;215.4 ;5.64;215.4
69;23.2 ;246.2 ;6.44;246.2
70;26.5 ;281.2 ;7.36;281.2
