400	8.53 
401	8.53 
402	8.30 
403	7.77 
404	7.20 
405	6.73 
406	6.23 
407	5.67 
408	5.10 
409	4.73 
410	4.63 
411	4.67 
412	4.73 
413	4.83 
414	4.97 
415	5.30 
416	5.80 
417	6.23 
418	6.37 
419	6.27 
420	5.87 
421	5.53 
422	5.40 
423	5.47 
424	5.73 
425	6.37 
426	7.53 
427	9.13 
428	10.53 
429	11.13 
430	11.17 
431	10.93 
432	10.63 
433	10.43 
434	10.37 
435	10.20 
436	9.73 
437	8.90 
438	7.67 
439	6.07 
440	4.30 
441	2.57 
442	1.27 
443	0.43 
444	0.07 
445	0.00 
446	0.00 
447	0.00 
448	0.00 
449	0.00 
450	0.00 
451	0.00 
452	0.00 
453	0.00 
454	0.00 
455	0.00 
456	0.00 
457	0.00 
458	0.00 
459	0.00 
460	0.00 
461	0.00 
462	0.00 
463	0.00 
464	0.00 
465	0.00 
466	0.00 
467	0.00 
468	0.00 
469	0.00 
470	0.00 
471	0.00 
472	0.00 
473	0.00 
474	0.00 
475	0.00 
476	0.00 
477	0.00 
478	0.00 
479	0.00 
480	0.00 
481	0.00 
482	0.00 
483	0.00 
484	0.00 
485	0.00 
486	0.00 
487	0.00 
488	0.00 
489	0.00 
490	0.00 
491	0.00 
492	0.00 
493	0.00 
494	0.00 
495	0.00 
496	0.00 
497	0.00 
498	0.00 
499	0.00 
500	0.00 
501	0.00 
502	0.00 
503	0.00 
504	0.00 
505	0.00 
506	0.00 
507	0.00 
508	0.00 
509	0.00 
510	0.00 
511	0.00 
512	0.17 
513	0.83 
514	2.20 
515	3.93 
516	5.60 
517	6.83 
518	7.30 
519	7.30 
520	7.10 
521	6.77 
522	6.40 
523	5.93 
524	5.17 
525	3.97 
526	2.53 
527	1.33 
528	0.67 
529	0.33 
530	0.00 
531	0.00 
532	0.00 
533	0.07 
534	0.40 
535	1.07 
536	1.73 
537	2.73 
538	4.33 
539	6.27 
540	7.70 
541	8.17 
542	8.17 
543	8.10 
544	7.87 
545	7.43 
546	6.70 
547	6.17 
548	5.73 
549	5.43 
550	5.13 
551	4.90 
552	4.77 
553	4.57 
554	4.43 
555	4.37 
556	4.37 
557	4.43 
558	4.60 
559	4.83 
560	5.50 
561	5.67 
562	5.67 
563	5.67 
564	5.13 
565	3.37 
566	1.60 
567	0.00 
568	0.00 
569	0.00 
570	0.00 
571	0.00 
572	0.00 
573	0.00 
574	0.00 
575	0.00 
576	0.00 
577	0.00 
578	0.00 
579	0.00 
580	0.00 
581	0.00 
582	0.00 
583	0.00 
584	0.00 
585	0.00 
586	0.00 
587	0.00 
588	0.00 
589	0.00 
