186	21.0 	222.8	7.00
187	18.9 	200.5	6.30
188	17.1 	181.4	5.70
189	15.7 	166.6	5.23
190	14.5 	153.8	4.83
191	13.7 	145.4	4.57
192	12.9 	136.9	4.30
193	12.5 	132.6	4.17
194	12.2 	129.4	4.07
195	12.0 	127.3	4.00
196	12.0 	127.3	4.00
197	12.0 	127.3	4.00
198	12.0 	127.3	4.00
199	12.5 	132.6	4.17
200	13.0 	137.9	4.33
201	14.0 	148.5	4.67
202	15.0 	159.2	5.00
203	16.5 	175.1	5.50
204	19.0 	201.6	6.33
205	21.2 	224.9	7.07
206	23.8 	252.5	7.93
207	26.9 	285.4	8.97
208	29.6 	314.1	9.87
209	32.0 	339.5	10.67
210	35.2 	373.5	11.73
211	37.5 	397.9	12.50
212	39.2 	415.9	13.07
213	40.5 	429.7	13.50
214	41.6 	441.4	13.87
215	43.1 	457.3	14.37
216	45.0 	477.5	15.00
217	47.1 	499.7	15.70
218	49.0 	519.9	16.33
219	50.6 	536.9	16.87
220	51.8 	549.6	17.27
221	52.7 	559.2	17.57
222	53.1 	563.4	17.70
223	53.5 	567.7	17.83
224	53.8 	570.8	17.93
225	54.2 	575.1	18.07
226	54.8 	581.4	18.27
227	55.3 	586.8	18.43
228	55.8 	592.1	18.60
229	56.2 	596.3	18.73
230	56.5 	599.5	18.83
231	56.5 	599.5	18.83
232	56.2 	596.3	18.73
233	54.9 	582.5	18.30
234	52.9 	561.3	17.63
235	51.0 	541.1	17.00
236	49.8 	528.4	16.60
237	49.2 	522.0	16.40
238	48.4 	513.5	16.13
239	46.9 	497.6	15.63
240	44.3 	470.0	14.77
241	41.5 	440.3	13.83
242	39.5 	419.1	13.17
243	37.0 	392.6	12.33
244	34.6 	367.1	11.53
245	32.3 	342.7	10.77
246	29.0 	307.7	9.67
247	25.1 	266.3	8.37
248	22.2 	235.5	7.40
249	20.9 	221.8	6.97
250	20.4 	216.5	6.80
251	19.5 	206.9	6.50
252	18.4 	195.2	6.13
253	17.8 	188.9	5.93
254	17.8 	188.9	5.93
255	17.4 	184.6	5.80
256	15.7 	166.6	5.23
257	14.5 	153.8	4.83
258	15.4 	163.4	5.13
259	17.9 	189.9	5.97
260	20.6 	218.6	6.87
261	23.2 	246.2	7.73
262	25.7 	272.7	8.57
263	28.7 	304.5	9.57
264	32.5 	344.8	10.83
265	36.1 	383.0	12.03
266	39.0 	413.8	13.00
